央视频道,#genre#
保定1,http://101.74.31.45:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
保定1,http://101.74.31.149:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
保定1,http://101.74.30.246:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
保定1,http://101.74.31.116:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
武汉1新闻综合,http://59.173.243.210:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
驻马店新闻综合1,http://39.164.202.90:8899/tsfile/live/0139_10.m3u8?key=txiptv&playlive=1&authid=0
驻马店新闻综合1,http://39.164.223.174:7799/tsfile/live/0139_10.m3u8?key=txiptv&playlive=1&authid=0
驻马店综合1,http://171.13.174.251:20443/tsfile/live/0139_10.m3u8?key=txiptv&playlive=1&authid=0
CETV2,http://121.19.134.125:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
武汉2电视剧,http://59.173.243.210:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
驻马店公共2,http://171.13.174.251:20443/tsfile/live/0121_2.m3u8?key=txiptv&playlive=1&authid=0
驻马店公共2,http://39.164.202.90:8899/tsfile/live/0121_2.m3u8?key=txiptv&playlive=1&authid=0
驻马店公共2,http://39.164.223.174:7799/tsfile/live/0121_2.m3u8?key=txiptv&playlive=1&authid=0
武汉3科技生活,http://59.173.243.210:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
驻马店科技3,http://171.13.174.251:20443/tsfile/live/0140_2.m3u8?key=txiptv&playlive=1&authid=0
驻马店科技3,http://39.164.202.90:8899/tsfile/live/0140_2.m3u8?key=txiptv&playlive=1&authid=0
驻马店科技3,http://39.164.223.174:7799/tsfile/live/0140_2.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://121.19.134.132:808/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育CETV4,http://101.74.30.246:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
